fromNode	toNode	weight	direction	fromAltName	toAltName
NDUFS2	UQCRB	0.00187877721204877	undirected	M.252	M.147
NDUFS2	COX6C	0.00120081161733199	undirected	M.252	M.163
NDUFS2	NDUFB6	0.00162069804011034	undirected	M.252	M.266
NDUFS2	NDUFA8	0.012886339510047	undirected	M.252	M.366
NDUFS2	SURF1	8.53404674372449e-07	undirected	M.252	M.68
NDUFS2	COX7B	0.00295534789443119	undirected	M.252	M.266
NDUFS2	NDUFA1	0.00538892418492887	undirected	M.252	M.299
NDUFS2	NDUFB11	0.0275253886176234	undirected	M.252	M.54
NDUFS2	IDH3G	0.00263825860965594	undirected	M.252	M.375
SDHC	COX20	0.000133373592353769	undirected	M.366	M.220
SDHC	SDHB	0.00960501334759645	undirected	M.366	M.346
SDHC	FH	0.0204774168495439	undirected	M.366	M.366
SDHC	NDUFS3	0.000384961728684408	undirected	M.366	M.81
SDHC	COX8A	0.00687787183002242	undirected	M.366	M.125
SDHC	NDUFV1	0.0394261951386375	undirected	M.366	M.252
SDHC	NDUFS8	0.0453386320871978	undirected	M.366	M.252
SDHC	TMEM126B	0.00502168301485295	undirected	M.366	M.389
SDHC	NDUFC2	0.000615963020157984	undirected	M.366	M.364
SDHC	ME3	0.00010077569172473	undirected	M.366	M.427
SDHC	NDUFA9	0.00522780664854439	undirected	M.366	M.367
SDHC	COX14	0.000557286848960947	undirected	M.366	M.366
SDHC	COQ10A	0.0043248895003728	undirected	M.366	M.46
SDHC	CS	0.00137047708343796	undirected	M.366	M.342
SDHC	NDUFA12	0.000528638228019185	undirected	M.366	M.252
SDHC	SUCLA2	0.0212239965204299	undirected	M.366	M.186
SDHC	NUBPL	0.00419767562933859	undirected	M.366	M.263
SDHC	DLST	0.00369157496509487	undirected	M.366	M.33
SDHC	NDUFB1	0.00166751741753124	undirected	M.366	M.132
SDHC	IDH3A	0.0018238376486871	undirected	M.366	M.385
SDHC	NDUFAF1	0.000362515004342701	undirected	M.366	M.380
SDHC	COX5A	0.0198840764692715	undirected	M.366	M.252
SDHC	ETFA	0.00923644134267076	undirected	M.366	M.339
SDHC	IDH2	0.00830455085261139	undirected	M.366	M.232
SDHC	FAHD1	0.000394189325684025	undirected	M.366	M.63
SDHC	NDUFB10	0.00121372872608627	undirected	M.366	M.366
SDHC	UQCRC2	0.00639100029059869	undirected	M.366	M.346
SDHC	COX4I1	0.0393303097669465	undirected	M.366	M.252
SDHC	TRAP1	0.0100293624949416	undirected	M.366	M.296
SDHC	NDUFAB1	0.00212511090948775	undirected	M.366	M.266
